iteration,timestamp,time_iso,sample_name,fault_class,agent,skill_id,skill_name,severity,rcf_score,detected,correct
1,1765833281.906275,2025-12-15 21:14:41,SHIP500-B02-T01525,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.41643,False,0
1,1765833294.100651,2025-12-15 21:14:54,SHIP500-B02-T01526,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.440161,False,0
1,1765833306.3174725,2025-12-15 21:15:06,SHIP500-B02-T01527,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.450511,False,0
1,1765833318.5322082,2025-12-15 21:15:18,SHIP500-B02-T01528,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.460006,False,0
1,1765833330.7638128,2025-12-15 21:15:30,SHIP500-B02-T01529,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.425968,False,0
1,1765833342.975086,2025-12-15 21:15:42,SHIP500-B02-T01530,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.413216,False,1
1,1765833342.975086,2025-12-15 21:15:42,SHIP500-B02-T01530,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.413216,False,1
1,1765833342.975086,2025-12-15 21:15:42,SHIP500-B02-T01530,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.413216,False,1
1,1765833355.1772664,2025-12-15 21:15:55,SHIP500-B02-T01531,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.416182,False,0
1,1765833367.3826685,2025-12-15 21:16:07,SHIP500-B02-T01532,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.423689,False,0
1,1765833379.5621986,2025-12-15 21:16:19,SHIP500-B02-T01533,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.427748,False,0
1,1765833391.7655616,2025-12-15 21:16:31,SHIP500-B02-T01534,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.421423,False,1
1,1765833391.7655616,2025-12-15 21:16:31,SHIP500-B02-T01534,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.421423,False,1
1,1765833391.7655616,2025-12-15 21:16:31,SHIP500-B02-T01534,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.421423,False,1
1,1765833403.9785185,2025-12-15 21:16:43,SHIP500-B02-T01535,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.416182,False,0
1,1765833416.195718,2025-12-15 21:16:56,SHIP500-B02-T01536,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.392338,False,1
1,1765833416.195718,2025-12-15 21:16:56,SHIP500-B02-T01536,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.392338,False,1
1,1765833416.195718,2025-12-15 21:16:56,SHIP500-B02-T01536,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.392338,False,1
1,1765833428.3971026,2025-12-15 21:17:08,SHIP500-B02-T01537,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.38792,False,1
1,1765833428.3971026,2025-12-15 21:17:08,SHIP500-B02-T01537,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.38792,False,1
1,1765833428.3971026,2025-12-15 21:17:08,SHIP500-B02-T01537,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.38792,False,1
1,1765833440.577573,2025-12-15 21:17:20,SHIP500-B02-T01538,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.39187,False,1
1,1765833440.577573,2025-12-15 21:17:20,SHIP500-B02-T01538,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.39187,False,1
