alarm_tag,active_samples,active_rate_pct,category,decision,reason,fault_class,fault_class_name
engine/alarm_right_main_battery_float_charge_comprehensive_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_right_main_remote_control_backup_power_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_right_main_remote_control_comprehensive_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_right_main_remote_control_control_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_right_main_remote_control_main_power_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_room_combination_alarm_light_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_room_combination_alarm_light_power_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_room_emergency_charge_discharge_board_battery_voltage_low,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_room_emergency_charge_discharge_board_discharge,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_room_emergency_charge_discharge_board_insulation_low,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_room_fan_combination_starter_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_rudder_room_tank_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_seawater_pump_flow_switch,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_seawater_pump_overload,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_sewage_pump_starter_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_sewage_tank_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_shaft_tunnel_tank_25_left_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_shaft_tunnel_tank_25_right_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_single_cylinder_exhaust_temperature_deviation_large_comprehensive,0,0.0,never_triggered,REMOVE,never fired in 24h,F10,Cylinder Exhaust Temp High
engine/alarm_single_cylinder_exhaust_temperature_deviation_large_comprehensive_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F10,Cylinder Exhaust Temp High
engine/alarm_single_cylinder_exhaust_temperature_module_communication_timeout,0,0.0,never_triggered,REMOVE,never fired in 24h,F10,Cylinder Exhaust Temp High
engine/alarm_single_cylinder_exhaust_temperature_module_communication_timeout_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F10,Cylinder Exhaust Temp High
engine/alarm_ups1_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_ups1_main_power_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_ups2_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_ups2_main_power_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_water_tight_door_open_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_water_tight_door_open_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
